sample_id,annotator_A,annotator_B
s0161,revisit,wait
s0162,revisit,wait
s0163,revisit,wait
s0164,revisit,wait
s0165,revisit,wait
s0166,revisit,wait
s0167,revisit,wait
s0168,revisit,wait
s0169,revisit,wait
s0170,revisit,wait
s0171,revisit,wait
s0172,revisit,wait
s0173,revisit,wait
s0174,revisit,wait
s0175,revisit,wait
s0176,revisit,wait
s0177,revisit,wait
s0178,revisit,wait
s0179,revisit,wait
s0180,revisit,wait
s0181,revisit,wait
s0182,revisit,wait
s0183,revisit,wait
s0184,revisit,wait
s0185,revisit,wait
s0186,revisit,wait
s0187,revisit,wait
s0188,revisit,wait
s0189,revisit,wait
s0190,revisit,wait
s0191,revisit,wait
s0192,revisit,wait
s0193,revisit,wait
s0194,revisit,wait
s0195,revisit,wait
s0196,wait,revisit
s0197,wait,revisit
s0198,wait,revisit
s0199,wait,revisit
s0200,wait,revisit
s0201,wait,revisit
s0202,wait,revisit
s0203,wait,revisit
s0204,wait,revisit
s0205,wait,revisit
s0206,wait,revisit
s0207,wait,revisit
s0208,wait,revisit
s0209,wait,revisit
s0210,wait,revisit
s0211,wait,revisit
s0212,wait,revisit
s0213,wait,revisit
s0214,wait,revisit
s0215,wait,revisit
s0216,wait,revisit
s0217,wait,revisit
s0218,wait,revisit
s0219,wait,revisit
s0220,wait,revisit
s0221,wait,revisit
s0222,wait,revisit
s0223,wait,revisit
s0224,wait,revisit
s0225,wait,revisit
s0226,wait,revisit
s0227,wait,revisit
s0228,wait,revisit
s0229,wait,revisit
s0230,wait,revisit
s0231,wait,revisit
s0232,wait,revisit
s0233,wait,revisit
s0234,wait,wait
s0235,wait,wait
s0236,wait,wait
s0237,wait,wait
s0238,wait,wait
s0239,wait,wait
s0240,wait,wait
s0241,wait,wait
s0242,wait,wait
s0243,wait,wait
s0244,wait,wait
s0245,wait,wait
s0246,wait,wait
s0247,wait,wait
s0248,wait,wait
s0249,wait,wait
s0250,wait,wait
s0251,wait,wait
s0252,wait,wait
s0253,wait,wait
s0254,wait,wait
s0255,wait,wait
s0256,wait,wait
s0257,wait,wait
s0258,wait,wait
s0259,wait,wait
s0260,wait,wait
s0261,wait,wait
s0262,wait,wait
s0263,wait,wait
s0264,wait,wait
s0265,wait,wait
s0266,wait,wait
s0267,wait,wait
s0268,wait,wait
s0269,wait,wait
s0270,wait,wait
s0271,wait,wait
s0272,wait,wait
s0273,wait,wait
s0274,wait,wait
s0275,wait,wait
s0276,wait,wait
s0277,wait,wait
s0278,wait,wait
s0279,wait,wait
s0280,wait,wait
s0281,wait,wait
s0282,wait,wait
s0283,wait,wait
s0284,wait,wait
s0285,wait,wait
s0286,wait,wait
s0287,wait,wait
s0288,wait,wait
s0289,wait,wait
s0290,wait,wait
s0291,wait,wait
s0292,wait,wait
s0293,wait,wait
s0294,wait,wait
s0295,wait,wait
s0296,wait,wait
s0297,wait,wait
s0298,wait,wait
s0299,wait,wait
s0300,wait,wait
s0301,wait,wait
s0302,wait,wait
s0303,wait,wait
s0304,wait,wait
s0305,wait,wait
s0306,wait,wait
s0307,wait,wait
s0308,wait,wait
s0309,wait,wait
s0310,wait,wait
s0311,wait,wait
s0312,wait,wait
s0313,wait,wait
s0314,wait,wait
s0315,wait,wait
s0316,wait,wait
s0317,wait,wait
s0318,wait,wait
s0319,wait,wait
s0320,wait,wait
s0321,wait,wait
s0322,wait,wait
s0323,wait,wait
s0324,wait,wait
s0325,wait,wait
s0326,wait,wait
s0327,wait,wait
s0328,wait,wait
s0329,wait,wait
s0330,wait,wait
s0331,wait,wait
s0332,wait,wait
s0333,wait,wait
s0334,wait,wait
s0335,wait,wait
s0336,wait,wait
s0337,wait,wait
s0338,wait,wait
s0339,wait,wait
s0340,wait,wait
s0341,wait,wait
s0342,wait,wait
s0343,wait,wait
s0344,wait,wait
s0345,wait,wait
s0346,wait,wait
s0347,wait,wait
s0348,wait,wait
s0349,wait,wait
s0350,wait,wait
s0351,wait,wait
s0352,wait,wait
s0353,wait,wait
s0354,wait,wait
s0355,wait,wait
s0356,wait,wait
s0357,wait,wait
s0358,wait,wait
s0359,wait,wait
s0360,wait,wait
s0361,wait,wait
s0362,wait,wait
s0363,wait,wait
s0364,wait,wait
s0365,wait,wait
s0366,wait,wait
s0367,wait,wait
s0368,wait,wait
s0369,wait,wait
s0370,wait,wait
s0371,wait,wait
s0372,wait,wait
s0373,wait,wait
s0374,wait,wait
s0375,wait,wait
s0376,wait,wait
s0377,wait,wait
s0378,wait,wait
s0379,wait,wait
s0380,wait,wait
s0381,wait,wait
s0382,wait,wait
s0383,wait,wait
s0384,wait,wait
s0385,wait,wait
s0386,wait,wait
s0387,wait,wait
s0388,wait,wait
s0389,wait,wait
s0390,wait,wait
s0391,wait,wait
s0392,wait,wait
s0393,wait,wait
s0394,wait,wait
s0395,wait,wait
s0396,wait,wait
s0397,wait,wait
s0398,wait,wait
s0399,wait,wait
s0400,wait,wait
s0401,wait,wait
s0402,wait,wait
s0403,wait,wait
s0404,wait,wait
s0405,wait,wait
s0406,wait,wait
s0407,wait,wait
s0408,wait,wait
s0409,wait,wait
s0410,wait,wait
s0411,wait,wait
s0412,wait,wait
s0413,wait,wait
s0414,wait,wait
s0415,wait,wait
s0416,wait,wait
s0417,wait,wait
s0418,wait,wait
s0419,wait,wait
s0420,wait,wait
s0421,wait,wait
s0422,wait,wait
s0423,wait,wait
s0424,wait,wait
s0425,wait,wait
s0426,wait,wait
s0427,wait,wait
s0428,wait,wait
s0429,wait,wait
s0430,wait,wait
s0431,wait,wait
s0432,wait,wait
s0433,wait,wait
s0434,wait,wait
s0435,wait,wait
s0436,wait,wait
s0437,wait,wait
s0438,wait,wait
s0439,wait,wait
s0440,wait,wait
s0441,wait,wait
s0442,wait,wait
s0443,wait,wait
s0444,wait,wait
s0445,wait,wait
s0446,wait,wait
s0447,wait,wait
s0448,wait,wait
s0449,wait,wait
s0450,wait,wait
s0451,wait,wait
s0452,wait,wait
s0453,wait,wait
s0454,wait,wait
s0455,wait,wait
s0456,wait,wait
s0457,wait,wait
s0458,wait,wait
s0459,wait,wait
s0460,wait,wait
s0461,wait,wait
s0462,wait,wait
s0463,wait,wait
s0464,wait,wait
s0465,wait,wait
s0466,wait,wait
s0467,wait,wait
s0468,wait,wait
s0469,wait,wait
s0470,wait,wait
s0471,wait,wait
s0472,wait,wait
s0473,wait,wait
s0474,wait,wait
s0475,wait,wait
s0476,wait,wait
s0477,wait,wait
s0478,wait,wait
s0479,wait,wait
s0480,wait,wait
s0481,wait,wait
s0482,wait,wait
s0483,wait,wait
s0484,wait,wait
s0485,wait,wait
s0486,wait,wait
s0487,wait,wait
s0488,wait,wait
s0489,wait,wait
s0490,wait,wait
s0491,wait,wait
s0492,wait,wait
s0493,wait,wait
s0494,wait,wait
s0495,wait,wait
s0496,wait,wait
s0497,wait,wait
s0498,wait,wait
s0499,wait,wait
s0500,wait,wait
